Stock Name,Ticker,Market,Previous Price,Current Price,Price Change (%),Decision
Apple Inc,AAPL,US,200.3000030517578,205.1699981689453,2.43,HOLD
Tesla Inc,TSLA,US,340.4700012207031,317.6600036621094,-6.7,BUY $5
NVIDIA Corporation,NVDA,US,147.89999389648438,157.99000549316406,6.82,HOLD
Adobe Inc,ADBE,US,382.3399963378906,386.8800048828125,1.19,HOLD
Intuitive Surgical Inc,ISRG,US,523.0800170898438,543.4099731445312,3.89,HOLD
Prologis Inc,PLD,US,108.12999725341797,105.12000274658203,-2.78,HOLD
Lam Research Corp,LRCX,US,95.62999725341797,97.33999633789062,1.79,HOLD
Cadence Design Systems,CDNS,US,296.79998779296875,308.1499938964844,3.82,HOLD
Monolithic Power Systems,MPWR,US,715.0612182617188,731.3800048828125,2.28,HOLD
Synopsys Inc,SNPS,US,478.9800109863281,512.6799926757812,7.04,HOLD
ServiceNow Inc,NOW,US,996.3200073242188,1028.0799560546875,3.19,HOLD
Fortinet Inc,FTNT,US,104.41999816894531,105.72000122070312,1.24,HOLD
Intuit Inc,INTU,US,759.030029296875,787.6300048828125,3.77,HOLD
Qualcomm Inc,QCOM,US,155.7100067138672,159.25999450683594,2.28,HOLD
Broadcom Inc,AVGO,US,263.7699890136719,275.6499938964844,4.5,HOLD
Applied Materials Inc,AMAT,US,180.17999267578125,183.07000732421875,1.6,HOLD
Texas Instruments,TXN,US,205.80999755859375,207.6199951171875,0.88,HOLD
Motorola Solutions,MSI,US,418.3500061035156,420.4599914550781,0.5,HOLD
Paycom Software,PAYC,US,235.0500030517578,231.39999389648438,-1.55,HOLD
Fastenal Company,FAST,US,41.529998779296875,42.0,1.13,HOLD
Graco Inc,GGG,US,85.54000091552734,85.97000122070312,0.5,HOLD
Trex Company,TREX,US,55.849998474121094,54.380001068115234,-2.63,HOLD
MSA Safety Inc,MSA,US,168.66000366210938,167.52999877929688,-0.67,HOLD
Generac Holdings,GNRC,US,135.97999572753906,143.2100067138672,5.32,HOLD
Zebra Technologies,ZBRA,US,298.94000244140625,308.3599853515625,3.15,HOLD
PTC Inc,PTC,US,169.92999267578125,172.33999633789062,1.42,HOLD
Tetra Tech Inc,TTEK,US,35.72999954223633,35.959999084472656,0.64,HOLD
West Pharmaceutical Services,WST,US,222.67999267578125,218.8000030517578,-1.74,HOLD
IDEXX Laboratories,IDXX,US,530.5,536.3400268554688,1.1,HOLD
Hologic Inc,HOLX,US,64.83000183105469,65.16000366210938,0.51,HOLD
ResMed Inc,RMD,US,255.91000366210938,258.0,0.82,HOLD
Stryker Corporation,SYK,US,385.6351013183594,395.6300048828125,2.59,HOLD
Masimo Corporation,MASI,US,170.27000427246094,168.22000122070312,-1.2,HOLD
DexCom Inc,DXCM,US,87.56999969482422,87.29000091552734,-0.32,HOLD
Align Technology,ALGN,US,186.5800018310547,189.3300018310547,1.47,HOLD
QuidelOrtho Corp,QDEL,US,28.670000076293945,28.81999969482422,0.52,HOLD
Broadridge Financial Solutions,BR,US,241.8000030517578,243.02999877929688,0.51,HOLD
FactSet Research Systems,FDS,US,437.6000061035156,447.2799987792969,2.21,HOLD
Jack Henry & Associates,JKHY,US,181.02000427246094,180.1699981689453,-0.47,HOLD
Tyler Technologies,TYL,US,588.6300048828125,592.8400268554688,0.72,HOLD
Fair Isaac Corporation,FICO,US,1926.52001953125,1827.9599609375,-5.12,BUY $5
Verisk Analytics,VRSK,US,309.92999267578125,311.5,0.51,HOLD
Old Dominion Freight Line,ODFL,US,161.97000122070312,162.3000030517578,0.2,HOLD
Cintas Corporation,CTAS,US,223.1999969482422,222.8699951171875,-0.15,HOLD
Expeditors International,EXPD,US,114.16000366210938,114.25,0.08,HOLD
CSX Corporation,CSX,US,32.47999954223633,32.630001068115234,0.46,HOLD
JB Hunt Transport Services,JBHT,US,143.42999267578125,143.60000610351562,0.12,HOLD
Norfolk Southern,NSC,US,257.4599914550781,255.97000122070312,-0.58,HOLD
O'Reilly Automotive,ORLY,US,89.18000030517578,90.12999725341797,1.07,HOLD
AutoZone Inc,AZO,US,3577.5400390625,3712.22998046875,3.76,HOLD
Tractor Supply Co,TSCO,US,53.5099983215332,52.77000045776367,-1.38,HOLD
Lowe's Companies,LOW,US,219.97999572753906,221.8699951171875,0.86,HOLD
Home Depot Inc,HD,US,360.4200134277344,366.6400146484375,1.73,HOLD
Costco Wholesale Corp,COST,US,1001.9199829101562,989.9400024414062,-1.2,HOLD
Pool Corporation,POOL,US,300.739990234375,291.4800109863281,-3.08,HOLD
Sherwin-Williams Company,SHW,US,345.69000244140625,343.3599853515625,-0.67,HOLD
Avery Dennison Corp,AVY,US,179.1300048828125,175.47000122070312,-2.04,HOLD
Toro Company,TTC,US,70.66000366210938,70.68000030517578,0.03,HOLD
RPM International Inc,RPM,US,110.22000122070312,109.83999633789062,-0.34,HOLD
Lennox International,LII,US,567.8462524414062,573.239990234375,0.95,HOLD
Allegion PLC,ALLE,US,143.61000061035156,144.1199951171875,0.36,HOLD
Ametek Inc,AME,US,179.24000549316406,180.9600067138672,0.96,HOLD
Roper Technologies,ROP,US,571.02001953125,566.8400268554688,-0.73,HOLD
Fortive Corporation,FTV,US,53.255462646484375,52.130001068115234,-2.11,HOLD
Parker-Hannifin Corp,PH,US,675.25,698.469970703125,3.44,HOLD
Rockwell Automation,ROK,US,325.95001220703125,332.1700134277344,1.91,HOLD
Ingersoll Rand Inc,IR,US,83.69000244140625,83.18000030517578,-0.61,HOLD
Eaton Corporation,ETN,US,343.260009765625,356.989990234375,4.0,HOLD
ITT Inc,ITT,US,155.02000427246094,156.8300018310547,1.17,HOLD
Watts Water Technologies,WTS,US,246.13999938964844,245.88999938964844,-0.1,HOLD
Pentair PLC,PNR,US,101.2300033569336,102.66000366210938,1.41,HOLD
A.O. Smith Corp,AOS,US,64.94000244140625,65.56999969482422,0.97,HOLD
Middleby Corporation,MIDD,US,143.17999267578125,144.0,0.57,HOLD
Cognex Corporation,CGNX,US,30.709999084472656,31.719999313354492,3.29,HOLD
IPG Photonics Corp,IPGP,US,68.4800033569336,68.6500015258789,0.25,HOLD
Coherent Corp,COHR,US,80.95999908447266,89.20999908447266,10.19,SELL $10
ON Semiconductor,ON,US,54.209999084472656,52.40999984741211,-3.32,HOLD
Skyworks Solutions,SWKS,US,73.41999816894531,74.5199966430664,1.5,HOLD
Lattice Semiconductor,LSCC,US,51.150001525878906,48.9900016784668,-4.22,HOLD
Enphase Energy,ENPH,US,38.380001068115234,39.650001525878906,3.31,HOLD
SolarEdge Technologies,SEDG,US,18.93000030517578,20.399999618530273,7.77,HOLD
First Solar Inc,FSLR,US,151.17999267578125,165.5399932861328,9.5,HOLD
Array Technologies,ARRY,US,6.369999885559082,5.900000095367432,-7.38,BUY $5
Brookfield Renewable,BEPC,US,32.65999984741211,32.779998779296875,0.37,HOLD
NextEra Energy Partners,NEP,US,,,,No Data
Clearway Energy Inc,CWEN,US,32.040000915527344,32.0,-0.12,HOLD
Xcel Energy Inc,XEL,US,68.2300033569336,68.0999984741211,-0.19,HOLD
Atmos Energy Corp,ATO,US,156.44000244140625,154.11000061035156,-1.49,HOLD
Essential Utilities,WTRG,US,37.86000061035156,37.13999938964844,-1.9,HOLD
American Water Works,AWK,US,142.17999267578125,139.11000061035156,-2.16,HOLD
Eversource Energy,ES,US,63.84000015258789,63.619998931884766,-0.34,HOLD
Alliant Energy Corp,LNT,US,61.15999984741211,60.470001220703125,-1.13,HOLD
CMS Energy Corporation,CMS,US,69.70999908447266,69.27999877929688,-0.62,HOLD
IDACORP Inc,IDA,US,115.04000091552734,115.44999694824219,0.36,HOLD
Pinnacle West Capital,PNW,US,90.16999816894531,89.47000122070312,-0.78,HOLD
WEC Energy Group,WEC,US,105.36000061035156,104.19999694824219,-1.1,HOLD
Avista Corp,AVA,US,38.040000915527344,37.95000076293945,-0.24,HOLD
UGI Corporation,UGI,US,36.4900016784668,36.41999816894531,-0.19,HOLD
NorthWestern Corp,NWE,US,51.970001220703125,51.29999923706055,-1.29,HOLD
New Jersey Resources,NJR,US,45.130001068115234,44.81999969482422,-0.69,HOLD
NiSource Inc,NI,US,40.52000045776367,40.34000015258789,-0.44,HOLD
Spire Inc,SR,US,74.5,72.98999786376953,-2.03,HOLD
